Fecha;ID;NOME;CASOS_14_DIAS;NIVEL_14_DIAS
;34121515070;PONTES DE GARCIA RODRIGUEZ (AS); entre 1 e 9;Incidencia acumulada para o concello: <=25
;34121515071;PORTO DO SON; entre 1 e 9;Incidencia acumulada para o concello: <=25
;34121515072;RIANXO; entre 1 e 9;Incidencia acumulada para o concello: >50 e <=150
;34121515073;RIBEIRA; 41;Incidencia acumulada para o concello: >150 e <=250
;34121515074;ROIS; entre 1 e 9;Incidencia acumulada para o concello: <=25
;34121515075;SADA; 11;Incidencia acumulada para o concello: >50 e <=150
;34121515076;SAN SADURNIÑO; entre 1 e 9;Incidencia acumulada para o concello: >25 e <=50
;34121515077;SANTA COMBA; entre 1 e 9;Incidencia acumulada para o concello: >50 e <=150
;34121515078;SANTIAGO DE COMPOSTELA; 40;Incidencia acumulada para o concello: >25 e <=50
;34121515079;SANTISO;0;Incidencia acumulada para o concello: <=25
;34121515080;SOBRADO;0;Incidencia acumulada para o concello: <=25
;34121515081;SOMOZAS;0;Incidencia acumulada para o concello: <=25
;34121515082;TEO; entre 1 e 9;Incidencia acumulada para o concello: <=25
;34121515083;TOQUES;0;Incidencia acumulada para o concello: <=25
;34121515084;TORDOIA;0;Incidencia acumulada para o concello: <=25
;34121515085;TOURO;0;Incidencia acumulada para o concello: <=25
;34121515086;TRAZO; entre 1 e 9;Incidencia acumulada para o concello: >50 e <=150
;34121515087;VALDOVIÑO; entre 1 e 9;Incidencia acumulada para o concello: <=25
;34121515088;VAL DO DUBRA;0;Incidencia acumulada para o concello: <=25
;34121515089;VEDRA;0;Incidencia acumulada para o concello: <=25
;34121515090;VILASANTAR;0;Incidencia acumulada para o concello: <=25
;34121515091;VILARMAIOR;0;Incidencia acumulada para o concello: <=25
;34121515092;VIMIANZO; entre 1 e 9;Incidencia acumulada para o concello: >50 e <=150
;34121515093;ZAS;0;Incidencia acumulada para o concello: <=25
;34121515901;CARIÑO; entre 1 e 9;Incidencia acumulada para o concello: >50 e <=150
;34121515902;OZA-CESURAS; entre 1 e 9;Incidencia acumulada para o concello: >50 e <=150
;34122727001;ABADIN;0;Incidencia acumulada para o concello: <=25
;34122727002;ALFOZ; entre 1 e 9;Incidencia acumulada para o concello: >50 e <=150
;34122727003;ANTAS DE ULLA;0;Incidencia acumulada para o concello: <=25
;34122727004;BALEIRA;0;Incidencia acumulada para o concello: <=25
;34122727005;BARREIROS; entre 1 e 9;Incidencia acumulada para o concello: >50 e <=150
;34122727006;BECERREA;0;Incidencia acumulada para o concello: <=25
;34122727007;BEGONTE;0;Incidencia acumulada para o concello: <=25
;34122727008;BOVEDA;0;Incidencia acumulada para o concello: <=25
;34122727009;CARBALLEDO; entre 1 e 9;Incidencia acumulada para o concello: >50 e <=150
;34122727010;CASTRO DE REI;0;Incidencia acumulada para o concello: <=25
;34122727011;CASTROVERDE;0;Incidencia acumulada para o concello: <=25
;34122727012;CERVANTES; entre 1 e 9;Incidencia acumulada para o concello: >150 e <=250
;34122727013;CERVO; entre 1 e 9;Incidencia acumulada para o concello: <=25
;34122727014;CORGO (O);0;Incidencia acumulada para o concello: <=25
;34122727015;COSPEITO; entre 1 e 9;Incidencia acumulada para o concello: >25 e <=50
;34122727016;CHANTADA; 13;Incidencia acumulada para o concello: >150 e <=250
;34122727017;FOLGOSO DO COUREL;0;Incidencia acumulada para o concello: <=25
;34122727018;FONSAGRADA (A);0;Incidencia acumulada para o concello: <=25
;34122727019;FOZ; entre 1 e 9;Incidencia acumulada para o concello: >50 e <=150
;34122727020;FRIOL; entre 1 e 9;Incidencia acumulada para o concello: >50 e <=150
;34122727021;XERMADE; entre 1 e 9;Incidencia acumulada para o concello: >50 e <=150
;34122727022;GUITIRIZ;0;Incidencia acumulada para o concello: <=25
;34122727023;GUNTIN;0;Incidencia acumulada para o concello: <=25
;34122727024;INCIO (O);0;Incidencia acumulada para o concello: <=25
;34122727025;XOVE;0;Incidencia acumulada para o concello: <=25
;34122727026;LANCARA; entre 1 e 9;Incidencia acumulada para o concello: >150 e <=250
;34122727027;LOURENZA; entre 1 e 9;Incidencia acumulada para o concello: >50 e <=150
;34122727028;LUGO; 91;Incidencia acumulada para o concello: >50 e <=150
;34122727029;MEIRA; entre 1 e 9;Incidencia acumulada para o concello: >250 e <=500
;34122727030;MONDOÑEDO; entre 1 e 9;Incidencia acumulada para o concello: >25 e <=50
;34122727031;MONFORTE DE LEMOS; entre 1 e 9;Incidencia acumulada para o concello: >25 e <=50
;34122727032;MONTERROSO;0;Incidencia acumulada para o concello: <=25
;34122727033;MURAS;0;Incidencia acumulada para o concello: <=25
;34122727034;NAVIA DE SUARNA;0;Incidencia acumulada para o concello: <=25
;34122727035;NEGUEIRA DE MUÑIZ;0;Incidencia acumulada para o concello: <=25
;34122727037;NOGAIS (AS);0;Incidencia acumulada para o concello: <=25
;34122727038;OUROL;0;Incidencia acumulada para o concello: <=25
;34122727039;OUTEIRO DE REI; entre 1 e 9;Incidencia acumulada para o concello: <=25
;34122727040;PALAS DE REI; entre 1 e 9;Incidencia acumulada para o concello: >25 e <=50
;34122727041;PANTON; entre 1 e 9;Incidencia acumulada para o concello: >25 e <=50
;34122727042;PARADELA; entre 1 e 9;Incidencia acumulada para o concello: >50 e <=150
;34122727043;PARAMO (O); entre 1 e 9;Incidencia acumulada para o concello: >50 e <=150
;34122727044;PASTORIZA (A); entre 1 e 9;Incidencia acumulada para o concello: >150 e <=250
;34122727045;PEDRAFITA DO CEBREIRO;0;Incidencia acumulada para o concello: <=25
;34122727046;POL; entre 1 e 9;Incidencia acumulada para o concello: >50 e <=150
;34122727047;POBRA DO BROLLON (A);0;Incidencia acumulada para o concello: <=25
;34122727048;PONTENOVA (A);0;Incidencia acumulada para o concello: <=25
;34122727049;PORTOMARIN;0;Incidencia acumulada para o concello: <=25
;34122727050;QUIROGA; entre 1 e 9;Incidencia acumulada para o concello: >150 e <=250
;34122727051;RIBADEO; entre 1 e 9;Incidencia acumulada para o concello: >50 e <=150
;34122727052;RIBAS DE SIL;0;Incidencia acumulada para o concello: <=25
;34122727053;RIBEIRA DE PIQUIN; entre 1 e 9;Incidencia acumulada para o concello: >150 e <=250
;34122727054;RIOTORTO;0;Incidencia acumulada para o concello: <=25
;34122727055;SAMOS;0;Incidencia acumulada para o concello: <=25
;34122727056;RABADE;0;Incidencia acumulada para o concello: <=25
;34122727057;SARRIA; entre 1 e 9;Incidencia acumulada para o concello: <=25
;34122727058;SAVIÑAO (O);0;Incidencia acumulada para o concello: <=25
;34122727059;SOBER;0;Incidencia acumulada para o concello: <=25
;34122727060;TABOADA;0;Incidencia acumulada para o concello: <=25
;34122727061;TRABADA; entre 1 e 9;Incidencia acumulada para o concello: >250 e <=500
;34122727062;TRIACASTELA;0;Incidencia acumulada para o concello: <=25
;34122727063;VALADOURO (O);0;Incidencia acumulada para o concello: <=25
;34122727064;VICEDO (O); entre 1 e 9;Incidencia acumulada para o concello: >50 e <=150
;34122727065;VILALBA; entre 1 e 9;Incidencia acumulada para o concello: >25 e <=50
;34122727066;VIVEIRO; entre 1 e 9;Incidencia acumulada para o concello: >25 e <=50
;34122727901;BARALLA;0;Incidencia acumulada para o concello: <=25
;34122727902;BURELA; entre 1 e 9;Incidencia acumulada para o concello: >50 e <=150
;34123232001;ALLARIZ; entre 1 e 9;Incidencia acumulada para o concello: >50 e <=150
;34123232002;AMOEIRO; entre 1 e 9;Incidencia acumulada para o concello: >25 e <=50
;34123232003;ARNOIA; entre 1 e 9;Incidencia acumulada para o concello: >50 e <=150
;34123232004;AVION; entre 1 e 9;Incidencia acumulada para o concello: >50 e <=150
;34123232005;BALTAR;0;Incidencia acumulada para o concello: <=25
;34123232006;BANDE; entre 1 e 9;Incidencia acumulada para o concello: >50 e <=150
;34123232007;BAÑOS DE MOLGAS;0;Incidencia acumulada para o concello: <=25
;34123232008;BARBADAS; entre 1 e 9;Incidencia acumulada para o concello: <=25
;34123232009;BARCO DE VALDEORRAS (O); 16;Incidencia acumulada para o concello: >50 e <=150
;34123232010;BEADE;0;Incidencia acumulada para o concello: <=25
;34123232011;BEARIZ;0;Incidencia acumulada para o concello: <=25
;34123232012;BLANCOS (OS);0;Incidencia acumulada para o concello: <=25
;34123232013;BOBORAS;0;Incidencia acumulada para o concello: <=25
;34123232014;BOLA A;0;Incidencia acumulada para o concello: <=25
;34123232015;BOLO (O);0;Incidencia acumulada para o concello: <=25
;34123232016;CALVOS DE RANDIN; entre 1 e 9;Incidencia acumulada para o concello: >50 e <=150
;34123232017;CARBALLEDA DE VALDEORRAS; entre 1 e 9;Incidencia acumulada para o concello: >250 e <=500
;34123232018;CARBALLEDA DE AVIA;0;Incidencia acumulada para o concello: <=25
;34123232019;CARBALLIÑO (O); entre 1 e 9;Incidencia acumulada para o concello: >25 e <=50
;34123232020;CARTELLE; entre 1 e 9;Incidencia acumulada para o concello: >150 e <=250
;34123232021;CASTRELO DO VAL; entre 1 e 9;Incidencia acumulada para o concello: >50 e <=150
;34123232022;CASTRELO DE MIÑO;0;Incidencia acumulada para o concello: <=25
;34123232023;CASTRO CALDELAS;0;Incidencia acumulada para o concello: <=25
;34123232024;CELANOVA; entre 1 e 9;Incidencia acumulada para o concello: >50 e <=150
;34123232025;CENLLE;0;Incidencia acumulada para o concello: <=25
;34123232026;COLES; entre 1 e 9;Incidencia acumulada para o concello: >50 e <=150
;34123232027;CORTEGADA;0;Incidencia acumulada para o concello: <=25
;34123232028;CUALEDRO; 15;Incidencia acumulada para o concello: >500
;34123232029;CHANDREXA DE QUEIXA;0;Incidencia acumulada para o concello: <=25
;34123232030;ENTRIMO;0;Incidencia acumulada para o concello: <=25
;34123232031;ESGOS;0;Incidencia acumulada para o concello: <=25
;34123232032;XINZO DE LIMIA; 17;Incidencia acumulada para o concello: >150 e <=250
;34123232033;GOMESENDE;0;Incidencia acumulada para o concello: <=25
;34123232034;GUDIÑA (A); entre 1 e 9;Incidencia acumulada para o concello: >150 e <=250
;34123232035;IRIXO (O);0;Incidencia acumulada para o concello: <=25
;34123232036;XUNQUEIRA DE AMBIA;0;Incidencia acumulada para o concello: <=25
;34123232037;XUNQUEIRA DE ESPADANEDO;0;Incidencia acumulada para o concello: <=25
;34123232038;LAROUCO;0;Incidencia acumulada para o concello: <=25
;34123232039;LAZA;0;Incidencia acumulada para o concello: <=25
;34123232040;LEIRO;0;Incidencia acumulada para o concello: <=25
;34123232041;LOBEIRA; entre 1 e 9;Incidencia acumulada para o concello: >50 e <=150
;34123232042;LOBIOS; entre 1 e 9;Incidencia acumulada para o concello: >150 e <=250
;34123232043;MACEDA;0;Incidencia acumulada para o concello: <=25
;34123232044;MANZANEDA;0;Incidencia acumulada para o concello: <=25
;34123232045;MASIDE;0;Incidencia acumulada para o concello: <=25
;34123232046;MELON;0;Incidencia acumulada para o concello: <=25
;34123232047;MERCA A; entre 1 e 9;Incidencia acumulada para o concello: >150 e <=250
;34123232048;MEZQUITA (A);0;Incidencia acumulada para o concello: <=25
;34123232049;MONTEDERRAMO;0;Incidencia acumulada para o concello: <=25
;34123232050;MONTERREI;0;Incidencia acumulada para o concello: <=25
;34123232051;MUIÑOS; entre 1 e 9;Incidencia acumulada para o concello: >500
;34123232052;NOGUEIRA DE RAMUIN; entre 1 e 9;Incidencia acumulada para o concello: >50 e <=150
;34123232053;OIMBRA; entre 1 e 9;Incidencia acumulada para o concello: >50 e <=150
;34123232054;OURENSE; 80;Incidencia acumulada para o concello: >50 e <=150
;34123232055;PADERNE DE ALLARIZ;0;Incidencia acumulada para o concello: <=25
;34123232056;PADRENDA;0;Incidencia acumulada para o concello: <=25
;34123232057;PARADA DE SIL;0;Incidencia acumulada para o concello: <=25
;34123232058;PEREIRO DE AGUIAR; entre 1 e 9;Incidencia acumulada para o concello: >50 e <=150
